GEOID,Name,Variable,survey_year_2012,survey_year_2013,survey_year_2014,survey_year_2015,survey_year_2016,survey_year_2017
37081010100,"Census Tract 101, Guilford County, North Carolina",B17001_002,259,323,389,590,574,551
37081010200,"Census Tract 102, Guilford County, North Carolina",B17001_002,1163,1383,1173,1185,1615,1676
37081010300,"Census Tract 103, Guilford County, North Carolina",B17001_002,839,819,694,721,824,552
37081010401,"Census Tract 104.01, Guilford County, North Carolina",B17001_002,159,192,188,161,65,178
37081010403,"Census Tract 104.03, Guilford County, North Carolina",B17001_002,115,129,161,158,133,157
37081010404,"Census Tract 104.04, Guilford County, North Carolina",B17001_002,164,134,188,275,70,84
37081010500,"Census Tract 105, Guilford County, North Carolina",B17001_002,263,310,279,299,229,210
37081010601,"Census Tract 106.01, Guilford County, North Carolina",B17001_002,538,726,676,829,725,680
37081010602,"Census Tract 106.02, Guilford County, North Carolina",B17001_002,1968,1766,1806,1340,1388,1778
37081010701,"Census Tract 107.01, Guilford County, North Carolina",B17001_002,297,372,361,427,356,305
37081010702,"Census Tract 107.02, Guilford County, North Carolina",B17001_002,383,452,510,666,795,774
37081010800,"Census Tract 108, Guilford County, North Carolina",B17001_002,343,425,398,432,381,405
37081010900,"Census Tract 109, Guilford County, North Carolina",B17001_002,677,770,924,893,634,590
37081011000,"Census Tract 110, Guilford County, North Carolina",B17001_002,469,513,429,577,749,761
37081011101,"Census Tract 111.01, Guilford County, North Carolina",B17001_002,1727,1695,1519,1542,1283,1042
37081011102,"Census Tract 111.02, Guilford County, North Carolina",B17001_002,810,886,650,785,946,572
37081011200,"Census Tract 112, Guilford County, North Carolina",B17001_002,2263,2047,2066,2000,1933,2467
37081011300,"Census Tract 113, Guilford County, North Carolina",B17001_002,902,963,1171,1036,1478,1298
37081011400,"Census Tract 114, Guilford County, North Carolina",B17001_002,2782,3034,3266,3171,3215,3323
37081011500,"Census Tract 115, Guilford County, North Carolina",B17001_002,996,1138,880,828,749,770
37081011601,"Census Tract 116.01, Guilford County, North Carolina",B17001_002,542,670,487,443,497,530
37081011602,"Census Tract 116.02, Guilford County, North Carolina",B17001_002,1157,1173,1132,1066,770,845
37081011904,"Census Tract 119.04, Guilford County, North Carolina",B17001_002,1027,1061,1143,931,852,663
37081011905,"Census Tract 119.05, Guilford County, North Carolina",B17001_002,1199,1130,1442,1382,1489,1140
37081012503,"Census Tract 125.03, Guilford County, North Carolina",B17001_002,806,902,657,429,392,477
37081012504,"Census Tract 125.04, Guilford County, North Carolina",B17001_002,856,857,893,866,779,788
37081012505,"Census Tract 125.05, Guilford County, North Carolina",B17001_002,118,66,84,104,150,211
37081012508,"Census Tract 125.08, Guilford County, North Carolina",B17001_002,148,193,240,246,349,386
37081012509,"Census Tract 125.09, Guilford County, North Carolina",B17001_002,62,81,73,63,51,82
37081012510,"Census Tract 125.10, Guilford County, North Carolina",B17001_002,77,108,137,104,102,98
37081012511,"Census Tract 125.11, Guilford County, North Carolina",B17001_002,81,82,120,133,131,162
37081012601,"Census Tract 126.01, Guilford County, North Carolina",B17001_002,1239,1149,1300,1194,1493,1427
37081012604,"Census Tract 126.04, Guilford County, North Carolina",B17001_002,952,1031,1006,1039,1202,1015
37081012607,"Census Tract 126.07, Guilford County, North Carolina",B17001_002,21,77,94,86,192,223
37081012608,"Census Tract 126.08, Guilford County, North Carolina",B17001_002,1091,1003,803,724,804,829
37081012609,"Census Tract 126.09, Guilford County, North Carolina",B17001_002,1414,1581,1449,1782,2067,1890
37081012610,"Census Tract 126.10, Guilford County, North Carolina",B17001_002,658,1012,917,834,684,689
37081012611,"Census Tract 126.11, Guilford County, North Carolina",B17001_002,1101,1220,1355,1057,1106,1183
37081012612,"Census Tract 126.12, Guilford County, North Carolina",B17001_002,1412,1679,1868,1365,1797,1271
37081012617,"Census Tract 126.17, Guilford County, North Carolina",B17001_002,843,701,626,638,632,612
37081012703,"Census Tract 127.03, Guilford County, North Carolina",B17001_002,884,999,678,624,601,376
37081012704,"Census Tract 127.04, Guilford County, North Carolina",B17001_002,1147,1015,1088,1121,1158,1095
37081012705,"Census Tract 127.05, Guilford County, North Carolina",B17001_002,1576,1889,1639,1371,1217,972
37081012706,"Census Tract 127.06, Guilford County, North Carolina",B17001_002,875,1333,1448,1353,1595,1711
37081012707,"Census Tract 127.07, Guilford County, North Carolina",B17001_002,820,1151,1086,949,1172,1290
37081012803,"Census Tract 128.03, Guilford County, North Carolina",B17001_002,1024,1500,1647,1616,1640,1538
37081012804,"Census Tract 128.04, Guilford County, North Carolina",B17001_002,375,575,794,935,944,983
37081012805,"Census Tract 128.05, Guilford County, North Carolina",B17001_002,470,437,440,553,719,622
37081013601,"Census Tract 136.01, Guilford County, North Carolina",B17001_002,561,485,472,360,309,195
37081013602,"Census Tract 136.02, Guilford County, North Carolina",B17001_002,1025,1164,1364,1036,941,922
37081013700,"Census Tract 137, Guilford County, North Carolina",B17001_002,357,378,531,518,485,406
37081013800,"Census Tract 138, Guilford County, North Carolina",B17001_002,1859,1802,1666,1528,1924,1707
37081013900,"Census Tract 139, Guilford County, North Carolina",B17001_002,2570,2963,2843,3057,2793,2657
37081014000,"Census Tract 140, Guilford County, North Carolina",B17001_002,980,1326,1601,1657,1780,1840
37081014200,"Census Tract 142, Guilford County, North Carolina",B17001_002,1395,1556,1568,1858,1981,1769
37081014300,"Census Tract 143, Guilford County, North Carolina",B17001_002,1531,1504,1366,1266,1477,1194
37081014406,"Census Tract 144.06, Guilford County, North Carolina",B17001_002,380,373,386,349,381,437
37081014407,"Census Tract 144.07, Guilford County, North Carolina",B17001_002,1011,999,953,1177,1177,934
37081014408,"Census Tract 144.08, Guilford County, North Carolina",B17001_002,736,841,682,807,688,595
37081014409,"Census Tract 144.09, Guilford County, North Carolina",B17001_002,324,570,492,446,486,457
37081014410,"Census Tract 144.10, Guilford County, North Carolina",B17001_002,850,851,920,935,576,619
37081014411,"Census Tract 144.11, Guilford County, North Carolina",B17001_002,754,988,801,889,1015,1186
37081014412,"Census Tract 144.12, Guilford County, North Carolina",B17001_002,97,173,191,193,408,366
37081014501,"Census Tract 145.01, Guilford County, North Carolina",B17001_002,615,485,550,459,468,494
37081014502,"Census Tract 145.02, Guilford County, North Carolina",B17001_002,1626,1598,1531,1655,1076,823
37081014503,"Census Tract 145.03, Guilford County, North Carolina",B17001_002,1365,1371,1559,1649,1354,1184
37081015100,"Census Tract 151, Guilford County, North Carolina",B17001_002,332,428,487,588,605,493
37081015200,"Census Tract 152, Guilford County, North Carolina",B17001_002,728,853,875,824,844,737
37081015300,"Census Tract 153, Guilford County, North Carolina",B17001_002,513,665,792,736,778,848
37081015401,"Census Tract 154.01, Guilford County, North Carolina",B17001_002,194,197,292,237,318,364
37081015402,"Census Tract 154.02, Guilford County, North Carolina",B17001_002,1925,2764,3165,3113,3183,2802
37081015500,"Census Tract 155, Guilford County, North Carolina",B17001_002,1434,1443,1274,1139,607,582
37081015600,"Census Tract 156, Guilford County, North Carolina",B17001_002,1059,948,813,744,486,402
37081015703,"Census Tract 157.03, Guilford County, North Carolina",B17001_002,369,381,487,426,772,774
37081015704,"Census Tract 157.04, Guilford County, North Carolina",B17001_002,361,593,748,970,1064,1060
37081015705,"Census Tract 157.05, Guilford County, North Carolina",B17001_002,382,455,362,397,586,586
37081015706,"Census Tract 157.06, Guilford County, North Carolina",B17001_002,425,548,227,275,223,339
37081015707,"Census Tract 157.07, Guilford County, North Carolina",B17001_002,523,481,485,577,679,529
37081015800,"Census Tract 158, Guilford County, North Carolina",B17001_002,410,439,206,156,156,157
37081015901,"Census Tract 159.01, Guilford County, North Carolina",B17001_002,693,561,676,697,365,394
37081015902,"Census Tract 159.02, Guilford County, North Carolina",B17001_002,176,132,85,90,91,46
37081016003,"Census Tract 160.03, Guilford County, North Carolina",B17001_002,172,158,147,99,121,172
37081016005,"Census Tract 160.05, Guilford County, North Carolina",B17001_002,17,64,84,47,57,64
37081016006,"Census Tract 160.06, Guilford County, North Carolina",B17001_002,101,152,155,168,229,316
37081016007,"Census Tract 160.07, Guilford County, North Carolina",B17001_002,497,510,625,514,433,595
37081016008,"Census Tract 160.08, Guilford County, North Carolina",B17001_002,415,319,307,411,340,286
37081016009,"Census Tract 160.09, Guilford County, North Carolina",B17001_002,236,290,259,170,187,266
37081016010,"Census Tract 160.10, Guilford County, North Carolina",B17001_002,175,208,212,215,264,174
37081016011,"Census Tract 160.11, Guilford County, North Carolina",B17001_002,632,667,648,562,494,508
37081016101,"Census Tract 161.01, Guilford County, North Carolina",B17001_002,431,547,492,506,468,339
37081016102,"Census Tract 161.02, Guilford County, North Carolina",B17001_002,878,1025,1058,1089,1156,1110
37081016103,"Census Tract 161.03, Guilford County, North Carolina",B17001_002,952,726,635,806,684,782
37081016201,"Census Tract 162.01, Guilford County, North Carolina",B17001_002,209,154,162,200,261,340
37081016203,"Census Tract 162.03, Guilford County, North Carolina",B17001_002,87,132,198,224,130,130
37081016204,"Census Tract 162.04, Guilford County, North Carolina",B17001_002,97,87,70,97,105,109
37081016205,"Census Tract 162.05, Guilford County, North Carolina",B17001_002,315,233,274,399,365,410
37081016303,"Census Tract 163.03, Guilford County, North Carolina",B17001_002,384,318,227,286,286,163
37081016304,"Census Tract 163.04, Guilford County, North Carolina",B17001_002,61,135,97,198,193,208
37081016305,"Census Tract 163.05, Guilford County, North Carolina",B17001_002,101,117,140,151,91,59
37081016306,"Census Tract 163.06, Guilford County, North Carolina",B17001_002,372,377,520,607,582,540
37081016405,"Census Tract 164.05, Guilford County, North Carolina",B17001_002,186,254,248,235,278,363
37081016406,"Census Tract 164.06, Guilford County, North Carolina",B17001_002,251,322,283,317,233,328
37081016407,"Census Tract 164.07, Guilford County, North Carolina",B17001_002,400,415,288,267,159,141
37081016408,"Census Tract 164.08, Guilford County, North Carolina",B17001_002,62,73,46,61,125,135
37081016409,"Census Tract 164.09, Guilford County, North Carolina",B17001_002,307,235,239,220,137,144
37081016410,"Census Tract 164.10, Guilford County, North Carolina",B17001_002,795,729,995,1112,1310,1036
37081016502,"Census Tract 165.02, Guilford County, North Carolina",B17001_002,443,571,545,453,341,332
37081016503,"Census Tract 165.03, Guilford County, North Carolina",B17001_002,384,369,347,536,462,406
37081016505,"Census Tract 165.05, Guilford County, North Carolina",B17001_002,324,348,275,256,366,328
37081016506,"Census Tract 165.06, Guilford County, North Carolina",B17001_002,341,174,212,297,287,268
37081016600,"Census Tract 166, Guilford County, North Carolina",B17001_002,264,125,138,114,152,142
37081016701,"Census Tract 167.01, Guilford County, North Carolina",B17001_002,318,589,747,949,1259,1332
37081016702,"Census Tract 167.02, Guilford County, North Carolina",B17001_002,392,327,371,365,396,374
37081016800,"Census Tract 168, Guilford County, North Carolina",B17001_002,1412,1435,1265,1351,759,941
37081016900,"Census Tract 169, Guilford County, North Carolina",B17001_002,270,295,311,276,276,253
37081017000,"Census Tract 170, Guilford County, North Carolina",B17001_002,349,310,311,308,184,271
37081017100,"Census Tract 171, Guilford County, North Carolina",B17001_002,651,668,527,517,546,563
37081017200,"Census Tract 172, Guilford County, North Carolina",B17001_002,286,584,686,694,646,874
37081980100,"Census Tract 9801, Guilford County, North Carolina",B17001_002,0,0,0,0,0,0
